Rider_ID,Experience_Years,Vehicle_Type,Shift,Joining_Date,Rating,Service_Preference
1,8,Bike,Night,2022-01-27,3.8,Bolt
2,5,Scooter,Full-time,2022-04-21,4.1,Bolt
3,10,Cycle,Evening,2022-03-20,4.4,All
4,6,Scooter,Morning,2023-09-13,3.9,All
5,9,Cycle,Morning,2022-08-02,4.9,Toing
6,1,Scooter,Full-time,2022-03-29,4.1,Bolt
7,4,Cycle,Night,2022-01-18,4.5,Main
8,5,Cycle,Full-time,2022-08-25,4.4,All
9,4,Scooter,Morning,2022-11-09,3.9,Main
10,2,Scooter,Morning,2023-01-21,3.8,Toing
11,1,Scooter,Night,2023-04-02,4.6,Main
12,4,Scooter,Evening,2023-04-10,3.5,All
13,0,Scooter,Night,2022-12-23,3.9,Main
14,7,Bike,Night,2022-05-06,3.6,All
15,4,Bike,Night,2023-01-11,3.7,Toing
16,10,Cycle,Night,2022-12-05,4.1,Toing
17,1,Cycle,Full-time,2023-05-12,3.9,All
18,7,Scooter,Full-time,2022-08-30,4.7,Toing
19,5,Scooter,Morning,2022-01-30,4.5,Main
20,4,Scooter,Morning,2022-09-25,4.9,Bolt
21,2,Bike,Morning,2022-04-01,3.6,Bolt
22,0,Bike,Full-time,2022-09-29,4.4,Main
23,1,Cycle,Night,2022-12-26,3.7,All
24,8,Bike,Morning,2022-03-26,4.8,All
25,1,Cycle,Night,2022-08-05,4.1,Toing
26,3,Scooter,Morning,2022-02-26,4.5,Bolt
27,10,Bike,Full-time,2023-09-06,4.2,Toing
28,6,Scooter,Night,2023-08-26,3.9,Bolt
29,7,Bike,Night,2022-12-19,4.6,All
30,1,Cycle,Evening,2022-02-11,4.0,Bolt
31,3,Bike,Evening,2022-03-22,4.5,All
32,10,Bike,Evening,2022-08-12,3.7,Bolt
33,1,Cycle,Full-time,2022-08-19,4.2,Bolt
34,7,Cycle,Morning,2023-03-06,4.8,Bolt
35,7,Cycle,Full-time,2022-04-14,4.6,Bolt
36,10,Cycle,Night,2023-10-02,3.8,Bolt
37,4,Cycle,Night,2022-05-24,3.9,Toing
38,2,Scooter,Night,2022-06-30,4.9,Bolt
39,0,Cycle,Night,2022-09-09,4.9,Main
40,3,Bike,Morning,2022-11-08,4.1,All
41,2,Bike,Full-time,2022-07-31,4.7,Bolt
42,8,Bike,Evening,2023-07-31,4.8,Toing
43,10,Bike,Night,2022-01-02,3.5,Main
44,7,Cycle,Morning,2022-12-24,4.7,Main
45,2,Scooter,Morning,2023-07-04,3.9,Bolt
46,7,Scooter,Morning,2023-11-27,3.9,Toing
47,8,Scooter,Full-time,2022-06-26,4.8,Toing
48,8,Bike,Evening,2023-02-11,4.7,All
49,4,Cycle,Morning,2022-12-19,4.2,Main
50,0,Cycle,Evening,2023-01-07,3.7,Main
51,5,Bike,Full-time,2023-07-14,4.0,Main
