Menu_ID,Restaurant_ID,Item_Name,Category,Cuisine,Veg_NonVeg,Calories,Cost_Price,Selling_Price
1,1,Item_1,Appetizer,Mughlai,Non-Veg,647,246.68,611.57
2,1,Item_2,Snacks,Mughlai,Veg,779,437.28,1107.96
3,1,Item_3,Appetizer,Mughlai,Veg,950,267.98,764.94
4,1,Item_4,Beverage,Mughlai,Non-Veg,901,386.7,778.19
5,1,Item_5,Appetizer,Mughlai,Non-Veg,613,105.48,291.2
6,1,Item_6,Snacks,Mughlai,Non-Veg,925,52.61,141.37
7,1,Item_7,Appetizer,Mughlai,Veg,234,197.5,553.47
8,1,Item_8,Appetizer,Mughlai,Non-Veg,876,80.42,127.51
9,1,Item_9,Main Course,Mughlai,Veg,671,185.28,296.73
10,1,Item_10,Dessert,Mughlai,Non-Veg,164,380.73,977.39
11,1,Item_11,Main Course,Mughlai,Veg,536,72.66,214.49
12,2,Item_12,Main Course,Bakery,Non-Veg,391,290.82,615.84
13,2,Item_13,Beverage,Bakery,Veg,699,488.11,949.03
14,2,Item_14,Dessert,Bakery,Veg,694,439.61,1134.24
15,2,Item_15,Main Course,Bakery,Veg,497,194.69,374.44
16,2,Item_16,Main Course,Bakery,Veg,603,135.27,387.02
17,2,Item_17,Appetizer,Bakery,Veg,511,224.18,394.09
18,3,Item_18,Beverage,Desserts,Veg,409,394.81,967.03
19,3,Item_19,Main Course,Desserts,Non-Veg,324,456.24,1073.01
20,3,Item_20,Appetizer,Desserts,Non-Veg,787,98.64,207.9
21,3,Item_21,Dessert,Desserts,Non-Veg,853,129.62,279.77
22,3,Item_22,Beverage,Desserts,Non-Veg,373,76.06,121.04
23,3,Item_23,Snacks,Desserts,Non-Veg,739,147.35,336.31
24,3,Item_24,Beverage,Desserts,Veg,820,447.13,1156.23
25,3,Item_25,Main Course,Desserts,Non-Veg,806,366.76,650.09
26,4,Item_26,Main Course,Street Food,Veg,635,439.57,1001.78
27,4,Item_27,Appetizer,Street Food,Non-Veg,436,236.33,497.27
28,4,Item_28,Dessert,Street Food,Veg,994,335.36,995.39
29,4,Item_29,Dessert,Street Food,Veg,959,482.39,943.4
30,4,Item_30,Main Course,Street Food,Non-Veg,764,87.01,175.08
31,4,Item_31,Dessert,Street Food,Non-Veg,128,127.41,208.16
32,5,Item_32,Snacks,American,Veg,976,453.73,795.86
33,5,Item_33,Main Course,American,Non-Veg,629,84.69,248.3
34,5,Item_34,Snacks,American,Veg,396,53.04,83.25
35,5,Item_35,Appetizer,American,Non-Veg,228,318.11,942.85
36,5,Item_36,Appetizer,American,Veg,377,75.96,212.51
37,6,Item_37,Dessert,Healthy Food,Non-Veg,166,200.72,539.96
38,6,Item_38,Main Course,Healthy Food,Non-Veg,585,462.89,801.89
39,6,Item_39,Dessert,Healthy Food,Veg,204,51.22,115.65
40,6,Item_40,Main Course,Healthy Food,Non-Veg,351,185.48,473.5
41,6,Item_41,Appetizer,Healthy Food,Veg,434,475.99,1180.79
42,6,Item_42,Beverage,Healthy Food,Non-Veg,560,478.07,1042.89
43,6,Item_43,Main Course,Healthy Food,Veg,208,435.61,769.56
44,6,Item_44,Snacks,Healthy Food,Non-Veg,691,68.19,187.58
45,6,Item_45,Main Course,Healthy Food,Non-Veg,601,246.12,575.71
46,6,Item_46,Snacks,Healthy Food,Veg,191,172.35,480.96
47,6,Item_47,Dessert,Healthy Food,Non-Veg,485,453.27,808.53
48,6,Item_48,Beverage,Healthy Food,Non-Veg,728,380.19,1137.19
49,6,Item_49,Snacks,Healthy Food,Veg,431,323.25,526.39
50,6,Item_50,Beverage,Healthy Food,Non-Veg,840,304.24,906.02
51,7,Item_51,Main Course,North Indian,Veg,154,165.01,392.35
52,7,Item_52,Dessert,North Indian,Non-Veg,514,137.02,227.89
53,7,Item_53,Dessert,North Indian,Non-Veg,620,458.47,1241.16
54,7,Item_54,Dessert,North Indian,Non-Veg,190,273.86,631.68
55,7,Item_55,Main Course,North Indian,Non-Veg,226,464.14,860.57
56,7,Item_56,Dessert,North Indian,Non-Veg,891,423.23,1039.25
57,7,Item_57,Snacks,North Indian,Veg,746,473.84,1382.55
58,8,Item_58,Dessert,American,Non-Veg,866,441.46,667.41
59,8,Item_59,Snacks,American,Veg,173,405.03,1118.03
60,8,Item_60,Appetizer,American,Non-Veg,362,69.36,186.23
61,8,Item_61,Dessert,American,Veg,382,75.41,168.13
62,8,Item_62,Beverage,American,Non-Veg,538,235.55,372.49
63,8,Item_63,Main Course,American,Veg,983,373.12,735.06
64,8,Item_64,Appetizer,American,Non-Veg,517,155.04,400.03
65,8,Item_65,Main Course,American,Veg,761,231.43,501.45
66,9,Item_66,Dessert,Bakery,Veg,156,316.99,731.53
67,9,Item_67,Appetizer,Bakery,Veg,394,439.01,681.77
68,9,Item_68,Main Course,Bakery,Veg,456,436.43,813.18
69,9,Item_69,Beverage,Bakery,Veg,937,415.9,1079.44
70,9,Item_70,Dessert,Bakery,Non-Veg,644,421.78,1041.31
71,9,Item_71,Appetizer,Bakery,Veg,813,58.33,158.7
72,9,Item_72,Appetizer,Bakery,Veg,950,280.56,604.32
73,9,Item_73,Main Course,Bakery,Non-Veg,325,440.76,1123.6
74,9,Item_74,Main Course,Bakery,Non-Veg,410,210.92,425.64
75,9,Item_75,Beverage,Bakery,Veg,785,311.7,833.87
76,9,Item_76,Dessert,Bakery,Non-Veg,786,293.9,699.07
77,10,Item_77,Snacks,Mexican,Veg,579,304.63,625.62
78,10,Item_78,Dessert,Mexican,Veg,138,350.44,899.5
79,10,Item_79,Main Course,Mexican,Non-Veg,539,290.47,709.73
80,10,Item_80,Appetizer,Mexican,Veg,752,110.64,281.69
81,10,Item_81,Appetizer,Mexican,Veg,956,238.53,424.51
82,10,Item_82,Snacks,Mexican,Veg,825,271.28,673.88
83,10,Item_83,Beverage,Mexican,Non-Veg,285,299.28,565.33
84,11,Item_84,Appetizer,Continental,Veg,898,453.93,1028.61
85,11,Item_85,Dessert,Continental,Veg,220,59.45,174.33
86,11,Item_86,Appetizer,Continental,Non-Veg,829,150.52,352.31
87,11,Item_87,Dessert,Continental,Non-Veg,200,168.28,300.76
88,11,Item_88,Beverage,Continental,Veg,973,51.27,122.27
89,11,Item_89,Beverage,Continental,Non-Veg,358,438.52,897.52
