Restaurant_ID,Restaurant_Name,Cuisine,City,Area,Opening_Year,Average_Rating,Price_Range,Pure_Veg,Online_Since,Partner_Type,Commission_Tier,Popularity
1,Restaurant_1,Mughlai,Kolkata,Area_6,2010,3.4,Low,False,2021-06-15,Regular,Tier 2,1.2644459537196964
2,Restaurant_2,Bakery,Pune,Area_2,2020,4.0,Medium,True,2022-02-10,Bolt Partner,Tier 1,4.504427110344625
3,Restaurant_3,Desserts,Mumbai,Area_19,2019,4.5,High,False,2020-03-09,Gold,Tier 1,1.9316466907271714
4,Restaurant_4,Street Food,Jaipur,Area_4,2012,3.9,High,False,2020-07-29,Regular,Tier 2,1.5784940772771696
5,Restaurant_5,American,Lucknow,Area_14,2021,4.0,Low,True,2020-07-15,Regular,Tier 2,1.0885128808830968
6,Restaurant_6,Healthy Food,Jaipur,Area_4,2021,3.3,Low,True,2020-05-26,Bolt Partner,Tier 1,1.0884973269355578
7,Restaurant_7,North Indian,Kolkata,Area_2,2022,3.8,Low,True,2021-11-08,Gold,Tier 1,1.0303714664927321
8,Restaurant_8,American,Jaipur,Area_15,2016,4.3,Low,True,2022-03-01,Regular,Tier 2,2.7335890941086682
9,Restaurant_9,Bakery,Chennai,Area_17,2019,4.0,Medium,False,2021-05-12,Bolt Partner,Tier 1,1.5833471834996309
10,Restaurant_10,Mexican,Noida,Area_17,2019,3.3,High,False,2021-03-07,Bolt Partner,Tier 1,1.8508130533712097
11,Restaurant_11,Continental,Kolkata,Area_2,2011,4.9,High,False,2020-01-09,Toing Partner,Tier 3,1.0104539183482386
12,Restaurant_12,Italian,Kolkata,Area_19,2022,4.4,Medium,False,2020-04-26,Regular,Tier 2,5.764847712953568
13,Restaurant_13,Healthy Food,Mumbai,Area_8,2020,3.3,Medium,False,2020-01-17,Toing Partner,Tier 3,2.442970633854936
14,Restaurant_14,South Indian,Chennai,Area_14,2019,3.4,Medium,False,2022-01-31,Regular,Tier 2,1.1267572450661902
15,Restaurant_15,Mexican,Gurgaon,Area_7,2019,4.8,High,True,2022-02-07,Toing Partner,Tier 3,1.1055461810817975
16,Restaurant_16,Bakery,Lucknow,Area_20,2014,4.7,Low,True,2021-10-22,Bolt Partner,Tier 1,1.1066148948634897
17,Restaurant_17,Thai,Chennai,Area_6,2017,4.6,High,True,2020-02-01,Regular,Tier 2,1.198866904820821
18,Restaurant_18,Thai,Hyderabad,Area_10,2022,4.4,High,False,2021-05-22,Regular,Tier 2,1.4505806367708411
19,Restaurant_19,Mughlai,Chennai,Area_19,2018,3.2,Low,True,2020-04-30,Toing Partner,Tier 3,1.3267980168327367
