Delivery_ID,Order_ID,Rider_ID,Pickup_Time,Arrival_Time_Restaurant,Delivered_Time,Delay_Minutes,Distance_Travelled,Weather_Condition,Traffic_Level
1,1,282,12:26:14,12:28:14,12:27:14,2,1.24,Rainy,Medium
2,2,226,13:39:37,13:49:37,14:11:37,3,9.61,Sunny,Jam
3,3,390,09:18:22,09:29:22,10:00:22,13,1.63,Sunny,Jam
4,4,82,14:01:14,14:16:14,14:21:14,17,6.83,Windy,Jam
5,5,547,22:55:15,23:02:15,22:58:15,2,8.25,Rainy,Medium
6,6,217,10:13:36,10:19:36,10:54:36,13,2.97,Rainy,Medium
7,7,94,12:55:03,12:58:03,13:44:03,14,5.76,Rainy,Jam
8,8,697,18:57:07,18:56:07,19:32:07,11,8.83,Sunny,Jam
9,9,157,22:34:48,22:36:48,23:02:48,6,8.48,Sunny,Low
10,10,247,11:06:36,11:17:36,11:40:36,1,7.8,Cloudy,Low
11,12,73,21:41:15,21:42:15,22:06:15,-2,4.88,Rainy,High
12,13,747,20:17:43,20:19:43,20:40:43,1,2.26,Windy,Jam
13,14,256,13:00:59,13:08:59,13:22:59,-3,8.64,Sunny,Medium
14,15,493,19:19:55,19:24:55,20:01:55,4,9.62,Sunny,Medium
15,16,159,19:24:18,19:29:18,19:43:18,-4,1.72,Cloudy,Low
16,17,692,15:01:15,15:11:15,15:38:15,3,7.45,Rainy,Low
17,18,135,00:53:41,01:03:41,01:40:41,14,9.96,Cloudy,High
18,19,519,18:28:08,18:26:08,19:02:08,16,3.69,Windy,Low
19,20,271,14:20:56,14:29:56,14:33:56,16,3.38,Rainy,Low
20,22,559,17:14:53,17:20:53,17:32:53,20,1.36,Sunny,Medium
21,25,286,17:33:41,17:35:41,17:56:41,-4,4.91,Rainy,Low
22,26,447,16:52:32,16:52:32,17:08:32,20,7.47,Windy,Jam
23,27,373,19:39:04,19:41:04,19:53:04,16,4.62,Rainy,Low
24,28,197,18:37:42,18:37:42,19:15:42,9,7.08,Sunny,Medium
25,30,425,20:09:40,20:13:40,20:25:40,19,8.01,Windy,Medium
26,31,52,13:42:15,13:59:15,14:30:15,12,2.43,Windy,Low
27,32,266,16:02:15,16:02:15,16:33:15,5,1.73,Cloudy,Low
28,33,711,19:24:45,19:31:45,19:41:45,1,4.51,Sunny,Medium
29,34,590,00:39:30,00:46:30,00:36:30,2,3.46,Rainy,Jam
