Financial_ID,Order_ID,Restaurant_ID,Service_Type,Restaurant_Commission_Rate,Restaurant_Commission_Amount,Delivery_Fee_Customer,Platform_Fee_Customer,Packaging_Fee_Customer,Net_Revenue_Swiggy,Restaurant_Payout
1,1,3650,Bolt,0.22999999999999998,27.92,53,14.99,15,74.5,93.46
2,2,168,Main App,0.25,131.31,47,14.99,20,134.52,393.92
3,3,3572,Main App,0.12,401.47,60,14.99,20,396.46,2944.1
4,4,1502,Bolt,0.22999999999999998,548.88,57,14.99,15,635.87,1837.56
5,5,1349,Bolt,0.22999999999999998,329.87,43,14.99,15,402.86,1104.36
6,6,2658,Main App,0.25,1644.33,36,14.99,20,1715.32,4932.97
7,7,491,Toing,0.12,88.95,12,12.0,0,112.95,652.34
8,8,664,Toing,0.12,132.29,8,12.0,0,-47.71,970.13
9,9,1241,Main App,0.25,129.32,0,14.99,20,164.31,387.97
10,10,2234,Main App,0.18,677.5,53,14.99,20,665.49,3086.39
11,11,390,Bolt,0.22999999999999998,187.08,77,14.99,15,294.07,626.29
12,12,3722,Toing,0.12,283.43,13,12.0,0,308.43,2078.49
13,13,2349,Main App,0.25,389.69,0,14.99,20,324.68,1169.07
14,14,1426,Main App,0.25,290.21,73,14.99,20,398.2,870.65
15,15,324,Main App,0.18,291.16,70,14.99,20,196.15,1326.4
16,16,3914,Toing,0.12,37.34,15,12.0,0,-35.66,273.8
17,17,1084,Main App,0.25,328.74,57,14.99,20,420.73,986.22
18,18,1601,Main App,0.18,482.97,20,14.99,20,537.96,2200.2
19,19,1055,Main App,0.18,892.75,0,14.99,20,927.74,4066.95
20,20,2577,Bolt,0.22999999999999998,426.91,53,14.99,15,309.9,1429.22
21,21,2438,Main App,0.18,418.42,65,14.99,20,518.41,1906.15
22,22,2408,Bolt,0.22999999999999998,243.62,99,14.99,15,372.61,815.58
23,23,192,Main App,0.12,242.81,71,14.99,20,348.8,1780.63
24,24,1583,Main App,0.12,433.79,75,14.99,20,543.78,3181.15
25,25,848,Main App,0.18,203.5,57,14.99,20,195.49,927.07
26,26,3041,Bolt,0.22999999999999998,165.48,99,14.99,15,294.47,554.0
27,27,2305,Bolt,0.22999999999999998,251.8,59,14.99,15,340.79,842.99
28,28,712,Main App,0.18,687.69,61,14.99,20,783.68,3132.8
29,29,3178,Main App,0.25,303.61,32,14.99,20,220.6,910.81
30,30,3974,Bolt,0.22999999999999998,262.46,95,14.99,15,337.45,878.65
31,31,3352,Main App,0.25,778.37,0,14.99,20,813.36,2335.11
32,32,2419,Toing,0.12,438.56,8,12.0,0,458.56,3216.07
33,33,3454,Main App,0.25,462.57,46,14.99,20,543.56,1387.7
34,34,2554,Bolt,0.22999999999999998,813.16,78,14.99,15,921.15,2722.32
35,35,1427,Main App,0.25,731.65,62,14.99,20,828.64,2194.96
36,36,1560,Main App,0.18,108.36,37,14.99,20,180.35,493.65
37,37,1553,Bolt,0.22999999999999998,198.91,79,14.99,15,257.9,665.91
38,38,1728,Main App,0.18,327.6,21,14.99,20,233.59,1492.39
39,39,74,Main App,0.18,403.62,22,14.99,20,460.61,1838.7
40,40,3956,Main App,0.18,604.77,66,14.99,20,705.76,2755.09
41,41,3811,Main App,0.18,56.9,76,14.99,20,73.05,259.22
42,42,77,Bolt,0.22999999999999998,394.54,84,14.99,15,508.53,1320.87
43,43,2530,Main App,0.18,501.91,0,14.99,20,336.9,2286.5
44,44,1329,Bolt,0.22999999999999998,598.17,52,14.99,15,480.16,2002.58
45,45,3284,Bolt,0.22999999999999998,540.1,85,14.99,15,455.09,1808.17
46,46,2327,Main App,0.18,674.65,0,14.99,20,509.64,3073.38
47,47,812,Main App,0.18,151.73,58,14.99,20,244.72,691.2
48,48,2245,Main App,0.25,130.74,33,14.99,20,41.84,392.23
49,49,829,Main App,0.25,780.87,75,14.99,20,690.86,2342.62
50,50,3804,Bolt,0.22999999999999998,379.99,90,14.99,15,399.98,1272.16
51,51,3528,Toing,0.12,147.36,13,12.0,0,172.36,1080.61
52,52,1210,Toing,0.12,129.78,5,12.0,0,146.78,951.76
53,53,1995,Main App,0.12,36.35,38,14.99,20,109.34,266.54
54,54,1033,Main App,0.12,688.69,33,14.99,20,756.68,5050.43
55,55,405,Toing,0.12,44.33,2,12.0,0,-41.67,325.06
56,56,205,Bolt,0.22999999999999998,175.01,98,14.99,15,103.0,585.89
57,57,2189,Toing,0.12,109.32,15,12.0,0,136.32,801.69
58,58,1933,Main App,0.12,118.84,44,14.99,20,49.28,871.49
59,59,262,Main App,0.18,786.18,48,14.99,20,869.17,3581.49
60,60,2058,Main App,0.25,765.99,74,14.99,20,874.98,2297.97
61,61,1407,Main App,0.25,189.28,60,14.99,20,170.7,567.83
62,62,1789,Main App,0.18,140.37,0,14.99,20,175.36,639.49
63,63,1851,Main App,0.18,389.01,62,14.99,20,486.0,1772.18
64,64,1077,Main App,0.18,168.07,39,14.99,20,242.06,765.65
65,65,3354,Main App,0.25,195.01,63,14.99,20,293.0,585.04
66,66,1186,Toing,0.12,208.44,4,12.0,0,224.44,1528.55
67,67,2209,Main App,0.12,490.42,72,14.99,20,447.41,3596.45
68,68,3699,Bolt,0.22999999999999998,385.98,63,14.99,15,478.97,1292.18
69,69,388,Main App,0.18,442.73,49,14.99,20,526.72,2016.88
70,70,896,Toing,0.12,204.05,17,12.0,0,233.05,1496.38
71,71,1564,Main App,0.18,945.03,0,14.99,20,980.02,4305.14
72,72,1917,Main App,0.18,300.25,56,14.99,20,291.24,1367.81
73,73,1019,Main App,0.12,324.71,75,14.99,20,234.7,2381.24
74,74,2096,Main App,0.12,302.41,57,14.99,20,394.4,2217.66
75,75,3364,Main App,0.25,665.52,26,14.99,20,726.51,1996.57
76,76,1428,Main App,0.18,262.43,26,14.99,20,323.42,1195.52
77,77,1551,Bolt,0.22999999999999998,390.62,63,14.99,15,483.61,1307.72
78,78,2924,Main App,0.18,492.23,75,14.99,20,602.22,2242.37
79,79,2928,Main App,0.18,153.86,27,14.99,20,215.85,700.91
80,80,1465,Main App,0.18,815.38,31,14.99,20,881.37,3714.51
81,81,1421,Bolt,0.22999999999999998,245.38,76,14.99,15,351.37,821.47
82,82,1878,Main App,0.12,32.74,37,14.99,20,104.73,240.07
83,83,534,Main App,0.25,700.92,33,14.99,20,618.91,2102.75
84,84,3628,Main App,0.18,288.77,71,14.99,20,394.76,1315.5
85,85,205,Main App,0.18,352.54,0,14.99,20,387.53,1606.02
86,86,1578,Bolt,0.22999999999999998,864.05,61,14.99,15,955.04,2892.7
87,87,2626,Main App,0.18,46.92,0,14.99,20,3.71,213.74
88,88,1848,Bolt,0.22999999999999998,371.16,80,14.99,15,381.15,1242.59
89,89,3312,Main App,0.25,233.09,75,14.99,20,203.23,699.25
90,90,2312,Main App,0.18,580.52,48,14.99,20,663.51,2644.6
91,91,3370,Bolt,0.22999999999999998,718.03,64,14.99,15,812.02,2403.82
92,92,881,Main App,0.12,139.67,29,14.99,20,203.66,1024.24
93,93,761,Main App,0.18,398.22,43,14.99,20,476.21,1814.14
94,94,1748,Main App,0.18,142.87,69,14.99,20,46.86,650.87
95,95,844,Main App,0.25,474.76,0,14.99,20,509.75,1424.29
96,96,692,Bolt,0.22999999999999998,737.72,50,14.99,15,817.71,2469.76
97,97,895,Main App,0.25,61.17,37,14.99,20,133.16,183.5
98,98,530,Toing,0.12,178.46,11,12.0,0,201.46,1308.67
99,99,3732,Bolt,0.22999999999999998,400.8,41,14.99,15,371.79,1341.82
100,100,3408,Toing,0.12,55.78,14,12.0,0,81.78,409.09
101,101,3976,Main App,0.25,328.79,56,14.99,20,419.78,986.38
102,102,2494,Toing,0.12,68.95,11,12.0,0,51.95,505.61
103,103,2750,Bolt,0.22999999999999998,64.89,93,14.99,15,187.88,217.22
104,104,1637,Main App,0.18,429.27,39,14.99,20,503.26,1955.59
105,105,3086,Bolt,0.22999999999999998,450.59,97,14.99,15,577.58,1508.5
106,106,2169,Bolt,0.22999999999999998,442.64,60,14.99,15,532.63,1481.9
107,107,2635,Bolt,0.22999999999999998,209.12,72,14.99,15,311.11,700.11
108,108,1356,Main App,0.12,177.6,22,14.99,20,234.59,1302.42
109,109,1066,Main App,0.18,68.11,27,14.99,20,73.34,310.27
110,110,1219,Toing,0.12,180.48,3,12.0,0,195.48,1323.54
111,111,151,Main App,0.18,105.02,65,14.99,20,205.01,478.41
112,112,616,Toing,0.12,170.96,12,12.0,0,-5.04,1253.72
113,113,2606,Main App,0.12,201.62,0,14.99,20,86.61,1478.57
114,114,3074,Main App,0.18,105.45,55,14.99,20,195.44,480.38
115,115,3912,Main App,0.25,69.47,0,14.99,20,104.46,208.4
116,116,2357,Main App,0.12,487.26,63,14.99,20,585.25,3573.22
117,117,2875,Main App,0.18,175.77,0,14.99,20,210.76,800.74
118,118,2505,Main App,0.18,42.41,80,14.99,20,57.4,193.19
119,119,2652,Toing,0.12,217.2,9,12.0,0,238.2,1592.77
120,120,734,Main App,0.18,177.83,61,14.99,20,273.82,810.12
121,121,1861,Main App,0.18,239.26,44,14.99,20,218.25,1089.99
122,122,3038,Bolt,0.22999999999999998,164.07,42,14.99,15,236.06,549.26
123,123,2255,Main App,0.12,273.02,67,14.99,20,375.01,2002.12
124,124,3059,Main App,0.18,93.93,70,14.99,20,198.92,427.88
125,125,151,Bolt,0.22999999999999998,212.51,52,14.99,15,294.5,711.44
126,126,151,Main App,0.18,131.28,55,14.99,20,221.27,598.07
127,127,377,Toing,0.12,119.26,9,12.0,0,100.26,874.6
128,128,3636,Main App,0.12,594.71,71,14.99,20,700.7,4361.19
129,129,3855,Main App,0.12,307.62,0,14.99,20,342.61,2255.92
130,130,2267,Main App,0.25,194.51,76,14.99,20,305.5,583.54
131,131,1078,Main App,0.18,284.84,79,14.99,20,398.83,1297.61
132,132,476,Bolt,0.22999999999999998,507.02,73,14.99,15,610.01,1697.41
133,133,3077,Main App,0.18,294.69,20,14.99,20,349.68,1342.49
134,134,3065,Main App,0.18,34.49,0,14.99,20,-26.32,157.12
135,135,81,Bolt,0.22999999999999998,366.11,82,14.99,15,478.1,1225.69
136,136,627,Bolt,0.22999999999999998,422.08,87,14.99,15,539.07,1413.06
137,137,1158,Toing,0.12,212.39,18,12.0,0,242.39,1557.51
138,138,881,Main App,0.12,202.24,71,14.99,20,308.23,1483.07
139,139,712,Main App,0.18,618.76,24,14.99,20,677.75,2818.81
140,140,196,Main App,0.12,813.04,45,14.99,20,893.03,5962.32
141,141,1061,Bolt,0.22999999999999998,594.86,86,14.99,15,510.85,1991.47
142,142,1631,Main App,0.18,61.26,75,14.99,20,171.25,279.05
143,143,3750,Main App,0.18,980.88,55,14.99,20,870.87,4468.46
144,144,2517,Main App,0.18,433.4,0,14.99,20,468.39,1974.38
145,145,2854,Bolt,0.22999999999999998,574.18,45,14.99,15,449.17,1922.24
146,146,2894,Bolt,0.22999999999999998,176.72,82,14.99,15,288.71,591.64
147,147,2309,Toing,0.12,199.71,6,12.0,0,217.71,1464.58
148,148,2509,Main App,0.12,183.88,33,14.99,20,251.87,1348.43
149,149,3107,Main App,0.18,643.39,63,14.99,20,741.38,2931.0
150,150,1290,Bolt,0.22999999999999998,139.59,96,14.99,15,265.58,467.32
151,151,1055,Main App,0.18,228.8,34,14.99,20,297.79,1042.31
152,152,3038,Main App,0.18,365.73,52,14.99,20,352.72,1666.13
153,153,1002,Toing,0.12,504.81,7,12.0,0,523.81,3701.95
154,154,1093,Bolt,0.22999999999999998,226.69,90,14.99,15,346.68,758.91
155,155,2702,Main App,0.18,457.1,21,14.99,20,513.09,2082.34
156,156,472,Bolt,0.22999999999999998,144.44,72,14.99,15,246.43,483.56
157,157,1789,Main App,0.18,383.02,48,14.99,20,316.01,1744.87
158,158,441,Main App,0.18,27.19,29,14.99,20,68.52,123.87
159,159,1699,Main App,0.18,521.84,26,14.99,20,582.83,2377.26
160,160,1865,Main App,0.25,193.79,0,14.99,20,112.5,581.38
161,161,3785,Main App,0.18,568.29,60,14.99,20,513.28,2588.87
162,162,413,Main App,0.25,227.64,58,14.99,20,320.63,682.92
163,163,3302,Main App,0.25,224.14,40,14.99,20,299.13,672.41
164,164,127,Main App,0.25,407.81,71,14.99,20,413.8,1223.45
165,165,533,Bolt,0.22999999999999998,339.7,77,14.99,15,446.69,1137.25
166,166,3886,Toing,0.12,112.41,5,12.0,0,129.41,824.37
167,167,3377,Main App,0.25,138.14,57,14.99,20,230.13,414.43
168,168,2745,Bolt,0.22999999999999998,584.25,62,14.99,15,676.24,1955.95
169,169,3013,Main App,0.25,503.22,26,14.99,20,564.21,1509.67
170,170,3056,Main App,0.18,527.97,0,14.99,20,562.96,2405.2
171,171,3522,Bolt,0.22999999999999998,357.53,56,14.99,15,443.52,1196.95
172,172,2000,Bolt,0.22999999999999998,994.73,48,14.99,15,1072.72,3330.18
173,173,1615,Main App,0.18,702.57,61,14.99,20,798.56,3200.6
174,174,1577,Main App,0.18,102.0,44,14.99,20,95.99,464.64
175,175,34,Bolt,0.22999999999999998,101.42,58,14.99,15,57.12,339.54
176,176,3660,Bolt,0.22999999999999998,354.53,67,14.99,15,451.52,1186.89
177,177,2773,Main App,0.18,530.34,47,14.99,20,612.33,2416.01
178,178,1356,Main App,0.12,120.83,0,14.99,20,155.82,886.06
179,179,651,Toing,0.12,116.74,4,12.0,0,32.74,856.09
180,180,3846,Bolt,0.22999999999999998,643.95,99,14.99,15,772.94,2155.82
181,181,1453,Main App,0.18,152.36,33,14.99,20,220.35,694.11
182,182,3167,Main App,0.18,237.73,47,14.99,20,219.72,1083.01
183,183,3903,Main App,0.12,95.61,30,14.99,20,160.6,701.1
184,184,3194,Bolt,0.22999999999999998,588.81,83,14.99,15,701.8,1971.22
185,185,1371,Toing,0.12,63.63,9,12.0,0,84.63,466.58
186,186,3159,Main App,0.25,158.42,60,14.99,20,253.41,475.27
187,187,3854,Main App,0.18,941.24,37,14.99,20,913.23,4287.87
188,188,3699,Bolt,0.22999999999999998,438.38,90,14.99,15,508.37,1467.64
189,189,1465,Main App,0.18,1033.87,79,14.99,20,947.86,4709.83
190,190,3844,Bolt,0.22999999999999998,481.05,98,14.99,15,559.04,1610.49
191,191,822,Main App,0.25,819.88,39,14.99,20,893.87,2459.62
192,192,3801,Main App,0.25,903.45,77,14.99,20,865.44,2710.34
193,193,3455,Main App,0.12,146.73,26,14.99,20,107.72,1076.03
194,194,2142,Toing,0.12,76.77,20,12.0,0,108.77,563.02
195,195,3578,Bolt,0.22999999999999998,234.42,65,14.99,15,329.41,784.79
196,196,1088,Bolt,0.22999999999999998,640.19,77,14.99,15,697.18,2143.25
197,197,2326,Bolt,0.22999999999999998,196.92,100,14.99,15,326.91,659.27
198,198,3909,Bolt,0.22999999999999998,65.26,98,14.99,15,108.12,218.5
199,199,391,Bolt,0.22999999999999998,468.51,82,14.99,15,580.5,1568.47
200,200,2084,Main App,0.25,600.83,32,14.99,20,467.82,1802.47
201,201,908,Main App,0.18,285.94,39,14.99,20,209.93,1302.63
202,202,1551,Bolt,0.22999999999999998,212.41,83,14.99,15,325.4,711.12
203,203,274,Main App,0.18,186.07,0,14.99,20,71.06,847.63
204,204,267,Bolt,0.22999999999999998,225.78,68,14.99,15,223.77,755.88
205,205,3898,Bolt,0.22999999999999998,388.75,98,14.99,15,416.74,1301.46
206,206,2827,Main App,0.12,200.9,28,14.99,20,163.89,1473.24
207,207,1725,Main App,0.18,458.01,40,14.99,20,533.0,2086.5
208,208,44,Main App,0.25,302.96,54,14.99,20,241.95,908.89
209,209,2914,Bolt,0.22999999999999998,136.1,84,14.99,15,250.09,455.63
210,210,3584,Bolt,0.22999999999999998,188.59,41,14.99,15,209.58,631.36
211,211,107,Bolt,0.22999999999999998,246.95,63,14.99,15,339.94,826.76
212,212,1701,Main App,0.18,35.07,60,14.99,20,130.06,159.75
213,213,1678,Main App,0.25,846.54,45,14.99,20,926.53,2539.63
214,214,3772,Toing,0.12,178.45,5,12.0,0,155.45,1308.66
215,215,416,Main App,0.18,342.79,48,14.99,20,225.78,1561.61
216,216,397,Main App,0.25,455.06,80,14.99,20,570.05,1365.17
217,217,2900,Main App,0.12,164.01,61,14.99,20,260.0,1202.78
218,218,3536,Main App,0.18,475.23,0,14.99,20,310.22,2164.93
219,219,3353,Main App,0.18,206.13,27,14.99,20,268.12,939.02
220,220,1797,Bolt,0.22999999999999998,376.1,93,14.99,15,499.09,1259.12
221,221,3077,Bolt,0.22999999999999998,503.73,74,14.99,15,607.72,1686.42
222,222,3344,Toing,0.12,118.71,5,12.0,0,135.71,870.51
223,223,772,Main App,0.18,91.99,71,14.99,20,197.98,419.05
224,224,3224,Main App,0.18,497.85,76,14.99,20,608.84,2268.0
225,225,3484,Main App,0.25,596.15,50,14.99,20,531.14,1788.46
226,226,854,Bolt,0.22999999999999998,470.08,68,14.99,15,468.07,1573.73
227,227,1529,Main App,0.18,299.93,69,14.99,20,403.92,1366.34
228,228,2046,Bolt,0.22999999999999998,451.5,80,14.99,15,561.49,1511.56
229,229,2504,Main App,0.18,548.52,38,14.99,20,621.51,2498.81
230,230,2290,Main App,0.12,284.59,0,14.99,20,319.58,2087.02
231,231,1856,Bolt,0.22999999999999998,441.84,69,14.99,15,540.83,1479.2
232,232,1257,Main App,0.12,941.17,65,14.99,20,841.16,6901.94
233,233,2130,Toing,0.12,101.17,12,12.0,0,25.17,741.92
234,234,1367,Main App,0.25,971.48,73,14.99,20,1079.47,2914.42
235,235,262,Main App,0.18,439.11,43,14.99,20,517.1,2000.38
