Order_Item_ID,Order_ID,Menu_ID,Quantity,Selling_Price_Per_Item,Discount_Item,GST_Item,Net_Amount_Item
1,1,36929,1,115.6,0.0,5.78,121.38
2,2,1675,1,500.22,0.0,25.01,525.23
3,3,36120,2,568.14,0.0,56.81,1193.09
4,3,36117,2,756.42,0.0,75.64,1588.48
5,3,36115,2,282.7,14.13,26.86,564.0
6,4,15467,2,474.88,0.0,47.49,997.25
7,4,15468,2,696.34,34.82,66.15,1389.19
8,5,13957,2,361.31,0.0,36.13,758.75
9,5,13962,1,643.31,0.0,32.17,675.4799999999999
10,6,27065,2,769.94,0.0,76.99,1616.8700000000001
11,6,27063,2,1446.17,0.0,144.62,3036.96
12,6,27068,2,506.92,25.35,48.16,1011.3
13,6,27060,1,868.73,0.0,43.44,912.1700000000001
14,7,5070,1,705.99,0.0,35.3,741.29
15,8,6788,2,272.51,13.63,25.89,543.65
16,8,6791,2,280.08,14.0,26.61,558.77
17,9,12811,1,492.66,0.0,24.63,517.2900000000001
18,10,22835,1,939.05,0.0,46.95,986.0
19,10,22843,1,269.85,0.0,13.49,283.34000000000003
20,10,22833,1,186.06,9.3,8.84,185.6
21,10,22834,2,1099.5,0.0,109.95,2308.95
22,11,3982,1,157.77,0.0,7.89,165.66
23,11,3979,1,616.87,0.0,30.84,647.71
24,12,37624,1,1037.59,0.0,51.88,1089.47
25,12,37623,2,605.93,0.0,60.59,1272.4499999999998
26,13,23969,1,946.94,47.35,44.98,944.57
27,13,23972,2,292.47,0.0,29.25,614.19
28,14,14712,1,1163.77,58.19,55.28,1160.86
29,15,3304,1,257.79,12.89,12.25,257.15000000000003
30,15,3298,1,1295.63,0.0,64.78,1360.41
31,16,39563,1,296.32,0.0,14.82,311.14
32,17,11129,1,687.31,0.0,34.37,721.68
33,17,11130,1,565.03,0.0,28.25,593.28
34,18,16451,2,1277.7,0.0,127.77,2683.17
35,19,10809,1,354.36,0.0,17.72,372.08000000000004
36,19,10807,2,1210.58,0.0,121.06,2542.22
37,19,10808,2,725.26,0.0,72.53,1523.05
38,19,10811,2,248.74,0.0,24.87,522.35
39,20,26268,2,883.87,0.0,88.39,1856.13
40,21,24842,1,276.28,13.81,13.12,275.59
41,21,24845,1,586.53,0.0,29.33,615.86
42,21,24841,2,718.36,35.92,68.24,1433.1200000000001
43,22,24561,2,530.93,26.55,50.44,1059.1999999999998
44,23,1940,2,401.23,0.0,40.12,842.58
45,23,1939,1,872.35,0.0,43.62,915.97
46,23,1943,1,252.28,0.0,12.61,264.89
47,24,16250,2,721.51,0.0,72.15,1515.17
48,24,16257,2,594.99,0.0,59.5,1249.48
49,24,16252,2,404.9,0.0,40.49,850.29
