Payment_ID,Order_ID,Payment_Mode_ID,Payment_Status,Transaction_Time,Gateway,Refund_Amount,Cashback_Amount
1,1,6,Success,12:15:14,Razorpay,0.0,8.4
2,2,3,Success,13:28:37,Paytm,0.0,0.0
3,3,6,Success,09:06:22,Razorpay,0.0,0.0
4,4,5,Success,13:54:14,Razorpay,0.0,0.0
5,5,1,Success,22:46:15,Razorpay,0.0,75.36
6,6,2,Success,09:58:36,ICICI,0.0,0.0
7,7,5,Success,12:48:03,Paytm,0.0,0.0
8,8,6,Success,18:46:07,ICICI,0.0,0.0
9,9,4,Success,22:23:48,ICICI,0.0,0.0
10,10,1,Success,10:56:36,Paytm,0.0,0.0
11,11,3,Refunded,16:42:41,Paytm,920.36,0.0
12,12,3,Success,21:32:15,Razorpay,0.0,119.35
13,13,1,Success,20:03:43,PhonePe,0.0,0.0
14,14,5,Success,12:55:59,PhonePe,0.0,0.0
15,15,6,Success,19:13:55,HDFC,0.0,0.0
16,16,4,Success,19:12:18,Razorpay,0.0,0.0
17,17,6,Success,14:55:15,ICICI,0.0,0.0
18,18,3,Success,00:42:41,ICICI,0.0,0.0
19,19,1,Success,18:16:08,Razorpay,0.0,0.0
20,20,3,Success,14:07:56,Razorpay,0.0,0.0
21,21,4,Failed,17:40:27,PhonePe,0.0,0.0
22,22,3,Success,17:02:53,Paytm,0.0,0.0
23,23,6,Failed,18:06:22,PhonePe,0.0,0.0
24,24,5,Failed,15:10:50,Paytm,0.0,0.0
25,25,2,Success,17:22:41,Paytm,0.0,0.0
26,26,3,Success,16:38:32,ICICI,0.0,0.0
27,27,3,Success,19:27:04,Razorpay,0.0,0.0
28,28,1,Success,18:26:42,PhonePe,0.0,0.0
29,29,2,Failed,16:05:18,ICICI,0.0,0.0
30,30,3,Success,19:56:40,Paytm,0.0,0.0
31,31,4,Success,13:35:15,HDFC,0.0,0.0
32,32,2,Success,15:48:15,Paytm,0.0,0.0
33,33,5,Success,19:09:45,PhonePe,0.0,0.0
34,34,4,Success,00:24:30,ICICI,0.0,0.0
35,35,2,Success,18:42:43,Paytm,0.0,0.0
36,36,1,Success,10:24:20,Razorpay,0.0,0.0
37,37,2,Success,07:14:41,Paytm,0.0,0.0
38,38,4,Success,09:44:16,ICICI,0.0,86.3
39,39,4,Success,21:37:44,ICICI,0.0,0.0
40,40,5,Success,10:54:26,PhonePe,0.0,0.0
41,41,1,Success,19:37:17,Razorpay,0.0,0.0
42,42,5,Success,20:31:54,PhonePe,0.0,0.0
43,43,3,Success,06:26:31,Razorpay,0.0,0.0
44,44,2,Success,14:35:33,HDFC,0.0,124.14
45,45,6,Success,08:13:47,PhonePe,0.0,0.0
46,46,2,Success,18:08:40,ICICI,0.0,0.0
47,47,6,Success,20:09:51,PhonePe,0.0,0.0
48,48,5,Success,19:36:39,ICICI,0.0,0.0
49,49,3,Success,13:26:28,Paytm,0.0,0.0
50,50,5,Success,18:07:34,Razorpay,0.0,0.0
51,51,4,Success,11:29:44,Razorpay,0.0,0.0
52,52,3,Success,11:52:17,PhonePe,0.0,0.0
53,53,2,Success,10:20:42,ICICI,0.0,0.0
54,54,1,Success,16:49:25,HDFC,0.0,0.0
55,55,5,Success,07:01:40,Paytm,0.0,0.0
56,56,4,Success,19:18:32,ICICI,0.0,0.0
57,57,5,Success,19:21:59,ICICI,0.0,0.0
58,58,2,Success,20:29:59,ICICI,0.0,0.0
59,59,6,Success,11:42:50,Paytm,0.0,0.0
60,60,4,Success,19:09:04,PhonePe,0.0,0.0
61,61,5,Success,07:04:15,HDFC,0.0,0.0
62,62,2,Success,19:18:22,Razorpay,0.0,0.0
63,63,5,Success,11:58:37,ICICI,0.0,0.0
64,64,2,Success,14:22:37,Razorpay,0.0,50.39
65,65,6,Success,11:18:44,Razorpay,0.0,0.0
66,66,1,Success,18:38:51,PhonePe,0.0,87.65
67,67,2,Success,04:08:05,PhonePe,0.0,0.0
68,68,2,Success,02:09:48,ICICI,0.0,0.0
69,69,5,Success,01:43:14,ICICI,0.0,0.0
70,70,4,Success,08:07:06,HDFC,0.0,0.0
71,71,1,Success,22:39:26,HDFC,0.0,0.0
72,72,4,Success,23:42:13,HDFC,0.0,0.0
73,73,6,Failed,05:49:09,Razorpay,0.0,130.8
74,74,6,Success,11:08:47,PhonePe,0.0,0.0
75,75,1,Success,19:41:01,Paytm,0.0,0.0
76,76,5,Success,13:08:17,HDFC,0.0,0.0
