Review_ID,Order_ID,Customer_ID,Restaurant_ID,Food_Rating,Delivery_Rating,Review_Text,Sentiment,Likes
1,119738,12156,2257,3,3,Okay.,Neutral,6
2,72273,2963,133,2,2,Bad.,Negative,6
3,158155,13219,111,5,5,Excellent!,Positive,3
4,65427,3956,1184,5,5,Excellent!,Positive,2
5,30075,24435,86,3,3,Okay.,Neutral,6
6,23678,17271,3006,1,1,Terrible.,Negative,15
7,134859,46,1105,2,2,Bad.,Negative,9
8,176419,23971,806,1,1,Terrible.,Negative,9
9,132468,14920,3405,4,4,Good.,Positive,6
10,4083,7869,227,5,5,Excellent!,Positive,18
11,74457,5784,2831,4,4,Good.,Positive,2
12,142134,4539,521,4,4,Good.,Positive,15
13,186434,15664,3772,2,2,Bad.,Negative,13
14,84661,16593,1731,3,3,Okay.,Neutral,6
15,117168,9201,3080,4,4,Good.,Positive,5
16,110853,6042,1913,5,5,Excellent!,Positive,11
17,105001,15282,1085,1,1,Terrible.,Negative,1
18,181464,18943,2462,3,3,Okay.,Neutral,10
19,9448,14124,359,5,5,Excellent!,Positive,14
20,178532,15468,2743,5,5,Excellent!,Positive,11
21,168259,10610,325,5,5,Excellent!,Positive,6
22,30069,14529,397,2,2,Bad.,Negative,0
23,28456,3819,3883,3,3,Okay.,Neutral,12
24,156519,21162,51,1,1,Terrible.,Negative,20
25,7817,9209,2853,5,5,Excellent!,Positive,16
26,5255,16476,3704,4,4,Good.,Positive,17
27,9849,11364,2577,5,5,Excellent!,Positive,0
28,130691,12636,2417,3,3,Okay.,Neutral,10
29,191767,4057,3389,4,4,Good.,Positive,19
30,48711,10852,3638,2,2,Bad.,Negative,5
31,132177,17544,1267,1,1,Terrible.,Negative,1
32,6604,18315,2080,3,3,Okay.,Neutral,2
33,22726,5433,218,4,4,Good.,Positive,6
34,810,23709,1355,1,1,Terrible.,Negative,6
35,113504,21024,685,4,4,Good.,Positive,12
36,90859,10365,1003,4,4,Good.,Positive,1
37,37748,4541,1557,5,5,Excellent!,Positive,7
38,129626,24212,1442,2,2,Bad.,Negative,15
39,19645,16274,1349,2,2,Bad.,Negative,8
40,60152,5281,513,2,2,Bad.,Negative,6
41,64048,16401,848,2,2,Bad.,Negative,15
42,160889,10616,2600,4,4,Good.,Positive,12
43,54784,308,3956,4,4,Good.,Positive,14
44,129465,7704,3861,5,5,Excellent!,Positive,5
45,142388,7828,1995,5,5,Excellent!,Positive,19
46,142235,24227,3249,2,2,Bad.,Negative,12
47,139137,17606,1743,2,2,Bad.,Negative,11
48,77727,7017,2282,4,4,Good.,Positive,8
49,198811,700,3265,5,5,Excellent!,Positive,19
50,66401,21121,2372,4,4,Good.,Positive,20
51,166159,24985,2389,5,5,Excellent!,Positive,18
52,188688,8010,625,5,5,Excellent!,Positive,16
53,150192,4275,1278,5,5,Excellent!,Positive,2
54,163810,2217,2761,1,1,Terrible.,Negative,18
55,65430,8028,500,4,4,Good.,Positive,4
56,181499,7115,685,5,5,Excellent!,Positive,13
57,112317,6761,3311,1,1,Terrible.,Negative,7
58,128745,24920,287,3,3,Okay.,Neutral,12
59,68412,5972,2461,2,2,Bad.,Negative,2
60,72465,9292,257,4,4,Good.,Positive,18
61,89987,16659,1954,4,4,Good.,Positive,6
62,160068,2518,1549,2,2,Bad.,Negative,14
63,101073,9045,3440,5,5,Excellent!,Positive,19
64,106474,19192,391,5,5,Excellent!,Positive,1
65,9198,17248,2637,3,3,Okay.,Neutral,3
66,21615,3480,1171,3,3,Okay.,Neutral,10
67,112235,14366,994,2,2,Bad.,Negative,15
68,98626,21379,1368,4,4,Good.,Positive,0
69,129879,5949,3294,4,4,Good.,Positive,9
70,66177,22867,3065,2,2,Bad.,Negative,15
71,10076,21615,461,2,2,Bad.,Negative,12
72,145013,5287,184,2,2,Bad.,Negative,7
73,54403,3800,2721,1,1,Terrible.,Negative,5
